"","pcc_ids","sak_ids"
"123","PCCGCIGL_00174","SAKL0A02904g"
"124","PCCGCIGL_00175","SAKL0A02926g"
"125","PCCGCIGL_00177","SAKL0A02948g"
"126","PCCGCIGL_00180","SAKL0A02970g"
"127","PCCGCIGL_00181","SAKL0A02992g"
"128","PCCGCIGL_00182","SAKL0A03014g"
"129","PCCGCIGL_00185","SAKL0A03036g"
"130","PCCGCIGL_00186","SAKL0A03058g"
"131","PCCGCIGL_00187","SAKL0A03080g"
"132","PCCGCIGL_00188","SAKL0A03102g"
"133","PCCGCIGL_00189","SAKL0A03124g"
"134","PCCGCIGL_00190","SAKL0A03146g"
"135","PCCGCIGL_00192","SAKL0A03168g"
"136","PCCGCIGL_00193","SAKL0A03190g"
"137","PCCGCIGL_00194","SAKL0A03212g"
"138","PCCGCIGL_00195","SAKL0A03234g"
"139","PCCGCIGL_00196","SAKL0A03256g"
"140","PCCGCIGL_00198","SAKL0A03278g"
"141","PCCGCIGL_00199","SAKL0A03300g"
"142","PCCGCIGL_00200","SAKL0A03322g"
"143","PCCGCIGL_00201","SAKL0A03344g"
"144","PCCGCIGL_00202","SAKL0A03366g"
"145","PCCGCIGL_00203","SAKL0A03388g"
"146","PCCGCIGL_00204","SAKL0A03410g"
"147","PCCGCIGL_00205","SAKL0A03432g"
"148","PCCGCIGL_00207","SAKL0A03454g"
"149","PCCGCIGL_00210","SAKL0A03476g"
"150","PCCGCIGL_00211","SAKL0A03498g"
"151","PCCGCIGL_00212","SAKL0A03520g"
"152","PCCGCIGL_00213","SAKL0A03542g"
"153","PCCGCIGL_00214","SAKL0A03564g"
"154","PCCGCIGL_00216","SAKL0A03586g"
"155","PCCGCIGL_00217","SAKL0A03608g"
"156","PCCGCIGL_00219","SAKL0A03630g"
"157","PCCGCIGL_00220","SAKL0A03652g"
"158","PCCGCIGL_00221","SAKL0A03674g"
"159","PCCGCIGL_00223","SAKL0A03696g"
"160","PCCGCIGL_00224","Sklu_YGOB_PAI3"
"161","PCCGCIGL_00225","SAKL0A03718g"
"162","PCCGCIGL_00228","SAKL0A03740g"
"163","PCCGCIGL_00229","SAKL0A03762g"
"164","PCCGCIGL_00230","SAKL0A03784g"
"165","PCCGCIGL_00232","SAKL0A03806g"
"166","PCCGCIGL_00234","SAKL0A03828g"
"167","PCCGCIGL_00236","SAKL0A03850g"
"168","PCCGCIGL_00237","SAKL0A03872g"
"169","PCCGCIGL_00238","SAKL0A03894g"
"170","PCCGCIGL_00240","SAKL0A03916g"
"171","PCCGCIGL_00241","SAKL0A03938g"
"172","PCCGCIGL_00242","SAKL0A03960g"
"173","PCCGCIGL_00243","SAKL0A03982g"
"174","PCCGCIGL_00244","SAKL0A04004g"
"175","PCCGCIGL_00245","SAKL0A04026g"
"176","PCCGCIGL_00246","SAKL0A04048g"
"177","PCCGCIGL_00247","SAKL0A04070g"
"178","PCCGCIGL_00249","SAKL0A04092g"
"179","PCCGCIGL_00250","SAKL0A04114g"
"180","PCCGCIGL_00251","SAKL0A04136g"
"181","PCCGCIGL_00252","SAKL0A04158g"
"182","PCCGCIGL_00254","SAKL0A04180g"
"183","PCCGCIGL_00255","SAKL0A04202g"
"184","PCCGCIGL_00256","SAKL0A04224g"
"185","PCCGCIGL_00257","SAKL0A04246g"
"186","PCCGCIGL_00258","SAKL0A04268g"
"187","PCCGCIGL_00259","SAKL0A04290g"
"188","PCCGCIGL_00260","SAKL0A04312g"
"189","PCCGCIGL_00261","SAKL0A04334g"
"190","PCCGCIGL_00262","SAKL0A04356g"
"191","PCCGCIGL_00263","SAKL0A04378g"
"192","PCCGCIGL_00265","SAKL0A04400g"
"193","PCCGCIGL_00266","SAKL0A04422g"
"194","PCCGCIGL_00268","SAKL0A04444g"
"195","PCCGCIGL_00269","SAKL0A04466g"
"196","PCCGCIGL_00271","SAKL0A04488g"
"197","PCCGCIGL_00273","SAKL0A04510g"
"198","PCCGCIGL_00275","SAKL0A04532g"
"199","PCCGCIGL_00277","SAKL0A04554g"
"200","PCCGCIGL_00278","SAKL0A04576g"
"201","PCCGCIGL_00279","SAKL0A04598g"
"202","PCCGCIGL_00281","SAKL0A04620g"
"203","PCCGCIGL_00282","SAKL0A04642g"
"204","PCCGCIGL_00283","SAKL0A04686g"
"205","PCCGCIGL_00285","SAKL0A04730g"
"206","PCCGCIGL_00287","SAKL0A04752g"
"207","PCCGCIGL_00288","SAKL0A04774g"
"208","PCCGCIGL_00289","SAKL0A04796g"
"209","PCCGCIGL_00290","SAKL0A04818g"
"210","PCCGCIGL_00292","SAKL0A04840g"
"211","PCCGCIGL_00293","SAKL0A04862g"
"212","PCCGCIGL_00294","SAKL0A04884g"
"213","PCCGCIGL_00297","SAKL0A04906g"
"214","PCCGCIGL_00298","SAKL0A04928g"
"215","PCCGCIGL_00300","SAKL0A04950g"
"216","PCCGCIGL_00301","SAKL0A04972g"
