Condition,SAKIDs,IDs,Value,pcc_ids,highlight
YPD,SAKL0A01936g,13612,-1.339416449,PCCGCIGL_00110,FALSE
YPD,SAKL0A01958g,14052,-0.851605539,PCCGCIGL_00112,FALSE
YPD,SAKL0A01980g,14680,0.630426513,PCCGCIGL_00113,FALSE
YPD,SAKL0A02002g,14031,-4.994546387,PCCGCIGL_00114,FALSE
YPD,SAKL0A02024g,14445,-0.472142789,PCCGCIGL_00115,FALSE
YPD,SAKL0A02046g,10060,1.588962122,PCCGCIGL_00117,FALSE
YPD,SAKL0A02068g,12486,-1.915881883,PCCGCIGL_00118,FALSE
YPD,SAKL0A02090g,14461,-2.354520032,PCCGCIGL_00121,FALSE
YPD,SAKL0A02112g,10614,-4.156835562,PCCGCIGL_00122,FALSE
YPD,SAKL0A02134g,14960,-2.341751794,PCCGCIGL_00124,FALSE
YPD,SAKL0A02156g,14330,-1.836067876,PCCGCIGL_00126,FALSE
YPD,SAKL0A02178g,10714,-3.257754996,PCCGCIGL_00127,FALSE
YPD,SAKL0A02200g,12890,-4.445571749,PCCGCIGL_00128,FALSE
YPD,SAKL0A02222g,10738,-4.543378742,PCCGCIGL_00130,FALSE
YPD,SAKL0A02244g,11032,-0.906002879,PCCGCIGL_00131,FALSE
YPD,SAKL0A02266g,11432,0.757964853,PCCGCIGL_00133,FALSE
YPD,SAKL0A02288g,12806,-2.985603704,PCCGCIGL_00136,FALSE
YPD,SAKL0A02310g,10497,1.045971276,PCCGCIGL_00137,FALSE
YPD,SAKL0A02332g,14087,-1.948988445,PCCGCIGL_00138,FALSE
YPD,SAKL0A02354g,14172,-0.156028932,PCCGCIGL_00139,FALSE
YPD,SAKL0A02376g,10705,-2.970266994,PCCGCIGL_00140,FALSE
YPD,SAKL0A02398g,11933,-2.153753733,PCCGCIGL_00141,FALSE
YPD,SAKL0A02420g,12039,-3.483394393,PCCGCIGL_00142,FALSE
YPD,SAKL0A02442g,14444,-3.831966619,PCCGCIGL_00143,FALSE
YPD,SAKL0A02464g,14026,-2.022165439,PCCGCIGL_00145,FALSE
YPD,SAKL0A02486g,12129,-1.675396729,PCCGCIGL_00146,FALSE
YPD,SAKL0A02508g,13487,-2.615679537,PCCGCIGL_00147,FALSE
YPD,SAKL0A02530g,15030,-3.310688928,PCCGCIGL_00148,FALSE
YPD,SAKL0A02552g,11812,-4.663455399,PCCGCIGL_00149,FALSE
YPD,SAKL0A02574g,13274,-2.048587049,PCCGCIGL_00150,FALSE
YPD,SAKL0A02596g,11716,-3.214399163,PCCGCIGL_00151,FALSE
YPD,SAKL0A02618g,12792,-1.333564941,PCCGCIGL_00153,FALSE
YPD,SAKL0A02640g,14532,-2.310793213,PCCGCIGL_00154,FALSE
YPD,SAKL0A02662g,11276,-2.430199334,PCCGCIGL_00156,FALSE
YPD,SAKL0A02684g,14896,-2.880233384,PCCGCIGL_00158,FALSE
YPD,SAKL0A02706g,11430,-5.29981229,PCCGCIGL_00160,FALSE
YPD,SAKL0A02728g,11247,-2.597167848,PCCGCIGL_00164,FALSE
YPD,SAKL0A02750g,13836,-5.530358543,PCCGCIGL_00166,FALSE
YPD,SAKL0A02772g,13780,2.993563724,PCCGCIGL_00167,FALSE
YPD,SAKL0A02794g,10847,0.134425349,PCCGCIGL_00168,FALSE
YPD,SAKL0A02816g,13019,-2.294283034,PCCGCIGL_00169,FALSE
YPD,SAKL0A02838g,11500,-2.47800248,PCCGCIGL_00171,FALSE
YPD,SAKL0A02860g,10264,-4.739035079,PCCGCIGL_00172,FALSE
YPD,SAKL0A02882g,11255,-3.974512958,PCCGCIGL_00173,FALSE
YPD,SAKL0A02904g,15253,-2.663249834,PCCGCIGL_00174,FALSE
YPD,SAKL0A02926g,14325,-3.250242928,PCCGCIGL_00175,FALSE
YPD,SAKL0A02948g,10793,-3.983464875,PCCGCIGL_00177,FALSE
YPD,SAKL0A02970g,10222,-3.435006695,PCCGCIGL_00180,FALSE
YPD,SAKL0A02992g,14700,0.066074876,PCCGCIGL_00181,FALSE
YPD,SAKL0A03014g,12299,-2.086378213,PCCGCIGL_00182,FALSE
YPD,SAKL0A03036g,12116,-2.673331441,PCCGCIGL_00185,FALSE
YPD,SAKL0A03058g,14934,-4.837273717,PCCGCIGL_00186,FALSE
YPD,SAKL0A03080g,12003,-2.894624644,PCCGCIGL_00187,FALSE
YPD,SAKL0A03102g,10170,NA,PCCGCIGL_00188,FALSE
YPD,SAKL0A03124g,14929,-3.506407657,PCCGCIGL_00189,FALSE
YPD,SAKL0A03146g,13885,-2.350282084,PCCGCIGL_00190,FALSE
YPD,SAKL0A03168g,10088,-4.353255255,PCCGCIGL_00192,FALSE
YPD,SAKL0A03190g,10696,-1.75776706,PCCGCIGL_00193,FALSE
YPD,SAKL0A03212g,10733,-2.813330483,PCCGCIGL_00194,FALSE
YPD,SAKL0A03234g,10443,3.33564244,PCCGCIGL_00195,FALSE
YPD,SAKL0A03256g,10796,-2.943622266,PCCGCIGL_00196,FALSE
YPD,SAKL0A03278g,12128,NA,PCCGCIGL_00198,FALSE
YPD,SAKL0A03300g,10080,1.788103705,PCCGCIGL_00199,FALSE
YPD,SAKL0A03322g,11147,-0.761112247,PCCGCIGL_00200,FALSE
YPD,SAKL0A03344g,11951,-3.96952534,PCCGCIGL_00201,FALSE
YPD,SAKL0A03366g,15252,-0.235051221,PCCGCIGL_00202,FALSE
YPD,SAKL0A03388g,11103,-0.642301884,PCCGCIGL_00203,FALSE
YPD,SAKL0A03410g,14591,-3.154542928,PCCGCIGL_00204,FALSE
